video,width,height,fps,frame_count,duration_sec,passed_screen,target_ts_sec,used_ts_sec,image,status,message
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0332.MP4,1920.0,1080.0,23.976023976023978,22317.0,930.805,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0332_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0333.MP4,1920.0,1080.0,23.976023976023978,22318.0,930.847,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0333_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0334.MP4,1920.0,1080.0,23.976023976023978,22317.0,930.805,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0334_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0335.MP4,1920.0,1080.0,23.976023976023978,22318.0,930.847,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0335_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0336.MP4,1920.0,1080.0,23.976023976023978,18159.0,757.382,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0336_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0337.MP4,1920.0,1080.0,23.976023976023978,28080.0,1171.17,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0337_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0338.MP4,1920.0,1080.0,23.976023976023978,26690.0,1113.195,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0338_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0339.MP4,1920.0,1080.0,23.976023976023978,26284.0,1096.262,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0339_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0340.MP4,1920.0,1080.0,23.976023976023978,23127.0,964.589,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0340_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0341.MP4,1920.0,1080.0,23.976023976023978,22703.0,946.904,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0341_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0342.MP4,1920.0,1080.0,23.976023976023978,23741.0,990.198,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0342_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0343.MP4,1920.0,1080.0,23.976023976023978,22375.0,933.224,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0343_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0344.MP4,1920.0,1080.0,23.976023976023978,22325.0,931.139,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0344_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0345.MP4,1920.0,1080.0,23.976023976023978,22326.0,931.18,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0345_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0346.MP4,1920.0,1080.0,23.976023976023978,18733.0,781.322,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0346_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0347.MP4,1920.0,1080.0,23.976023976023978,22639.0,944.235,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0347_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0348.MP4,1920.0,1080.0,23.976023976023978,22315.0,930.721,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0348_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0349.MP4,1920.0,1080.0,23.976023976023978,22317.0,930.805,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0349_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0350.MP4,1920.0,1080.0,23.976023976023978,22318.0,930.847,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0350_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0351.MP4,1920.0,1080.0,23.976023976023978,22317.0,930.805,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0351_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0352.MP4,1920.0,1080.0,23.976023976023978,22318.0,930.847,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0352_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0353.MP4,1920.0,1080.0,23.976023976023978,22317.0,930.805,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0353_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0354.MP4,1920.0,1080.0,23.976023976023978,22317.0,930.805,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0354_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0355.MP4,1920.0,1080.0,23.976023976023978,22318.0,930.847,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0355_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0356.MP4,1920.0,1080.0,23.976023976023978,22325.0,931.139,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0356_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0357.MP4,1920.0,1080.0,23.976023976023978,22325.0,931.139,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0357_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0358.MP4,1920.0,1080.0,23.976023976023978,22326.0,931.18,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0358_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0359.MP4,1920.0,1080.0,23.976023976023978,22388.0,933.766,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0359_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0360.MP4,1920.0,1080.0,23.976023976023978,23339.0,973.431,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0360_t300.000s.jpg,ok,
